"...1","...2","Name","ID","Website","Email Address","Non Primary E-mails","Office Phone","Alternate Phone","Fax","Billing Street","Billing City","Billing State","Billing Postal Code","Billing Country","Shipping Street","Shipping City","Shipping State","Shipping Postal Code","Shipping Country","Description","Type","Industry","Annual Revenue","Employees","SIC Code","Ticker Symbol","Parent Account ID","Ownership","Campaign ID","Rating","Assigned to","Assigned User","Date Created","Date Modified","Modified By","Created By","Deleted","Geocode Status","Longitude","Address","Latitude"
1,1,"Tortor Institute","001i0000008rAWBAA2",NA,NA,NA,NA,NA,NA,"716 Pacific Ave, Tacoma, WA 98402-5208","Tacoma","Washington",NA,NA,"716 Pacific Ave, Tacoma, WA 98402-5208","Tacoma","Washington",NA,NA,NA,"Gold","Technology",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-06-30,NA,NA,NA,FALSE,NA,NA,NA,NA
2,2,"Adipiscing Non Ltd","001i0000008rAWCAA2",NA,NA,NA,NA,NA,NA,"509 1/2 Puyallup Ave, Tacoma, WA 98421-1318","Tacoma","Washington",NA,NA,"509 1/2 Puyallup Ave, Tacoma, WA 98421-1318","Tacoma","Washington",NA,NA,NA,"Gold","Agriculture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-06-30,NA,NA,NA,FALSE,NA,NA,NA,NA
3,3,"Etiam Ligula Tortor Limited","001i0000008rAzsAAE",NA,NA,NA,NA,NA,NA,"52288 Sunquist Rd, Milton Freewater, OR 97862-6856","Milton Freewater","Oregon",NA,NA,"52288 Sunquist Rd, Milton Freewater, OR 97862-6856","Milton Freewater","Oregon",NA,NA,NA,"Gold","Agriculture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-04-25,NA,NA,NA,TRUE,NA,NA,NA,NA
4,4,"Dictum Magna Ut Ltd","001i0000008rBcBAAU",NA,NA,NA,NA,NA,NA,"5 W High St, Red Lion, PA 17356-1701","Red Lion","Pennsylvania",NA,NA,"5 W High St, Red Lion, PA 17356-1701","Red Lion","Pennsylvania",NA,NA,NA,"Platinum","Storage",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012-01-28,NA,NA,NA,TRUE,NA,NA,NA,NA
5,5,"Convallis LLP","001i0000008rBdSAAU",NA,NA,NA,NA,NA,NA,"2775 Lebanon Rd, Manheim, PA 17545-8711","Manheim","Pennsylvania",NA,NA,"2775 Lebanon Rd, Manheim, PA 17545-8711","Manheim","Pennsylvania",NA,NA,NA,"Gold","Healthcare",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012-02-17,NA,NA,NA,TRUE,NA,NA,NA,NA
6,6,"Risus LLP","001i0000008rBf9AAE",NA,NA,NA,NA,NA,NA,"233 W Hwy 61, Grand Marais, MN 55604","Grand Marais","Minnesota",NA,NA,"233 W Hwy 61, Grand Marais, MN 55604","Grand Marais","Minnesota",NA,NA,NA,"Gold","Healthcare",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011-03-13,NA,NA,NA,TRUE,NA,NA,NA,NA
7,7,"Risus LLP","001i0000008rBf9AAE",NA,NA,NA,NA,NA,NA,"233 W Hwy 61, Grand Marais, MN 55604","Grand Marais","Minnesota",NA,NA,"233 W Hwy 61, Grand Marais, MN 55604","Grand Marais","Minnesota",NA,NA,NA,"Gold","Healthcare",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012-03-12,NA,NA,NA,TRUE,NA,NA,NA,NA
8,8,"Magna Nec Quam Foundation","001i0000008rBhvAAE",NA,NA,NA,NA,NA,NA,"4821 Grove Barton R, Raleigh, NC 27613","Raleigh","North Carolina",NA,NA,"4821 Grove Barton R, Raleigh, NC 27613","Raleigh","North Carolina",NA,NA,NA,"Gold","Hospitality",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011-03-29,NA,NA,NA,TRUE,NA,NA,NA,NA
9,9,"Magna Nec Quam Foundation","001i0000008rBhvAAE",NA,NA,NA,NA,NA,NA,"4821 Grove Barton R, Raleigh, NC 27613","Raleigh","North Carolina",NA,NA,"4821 Grove Barton R, Raleigh, NC 27613","Raleigh","North Carolina",NA,NA,NA,"Gold","Hospitality",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011-04-02,NA,NA,NA,TRUE,NA,NA,NA,NA
10,10,"Magna Nec Quam Foundation","001i0000008rBhvAAE",NA,NA,NA,NA,NA,NA,"4821 Grove Barton R, Raleigh, NC 27613","Raleigh","North Carolina",NA,NA,"4821 Grove Barton R, Raleigh, NC 27613","Raleigh","North Carolina",NA,NA,NA,"Gold","Hospitality",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012-04-01,NA,NA,NA,TRUE,NA,NA,NA,NA
11,11,"Quisque Tincidunt LLP","001i0000008rBi4AAE",NA,NA,NA,NA,NA,NA,"739 E Elm St Ste B, Conshohocken, PA 19428-2301","Conshohocken","Pennsylvania",NA,NA,"739 E Elm St Ste B, Conshohocken, PA 19428-2301","Conshohocken","Pennsylvania",NA,NA,NA,"Gold","Biotech",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012-04-02,NA,NA,NA,TRUE,NA,NA,NA,NA
12,12,"OSN Infotech","001i0000008rBJmAAM",NA,NA,NA,NA,NA,NA,"10 University Dr, Amherst, MA 01002-2243","Amherst","Massachusetts",NA,NA,"10 University Dr, Amherst, MA 01002-2243","Amherst","Massachusetts",NA,NA,NA,"Gold","Transportation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011-06-13,NA,NA,NA,TRUE,NA,NA,NA,NA
13,13,"Mollis Dui Consulting","001i0000008rBktAAE",NA,NA,NA,NA,NA,NA,"1115 E West Hwy, Silver Spring, MD 20910-4852","Silver Spring","Maryland",NA,NA,"1115 E West Hwy, Silver Spring, MD 20910-4852","Silver Spring","Maryland",NA,NA,NA,"Gold","Healthcare",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012-05-01,NA,NA,NA,TRUE,NA,NA,NA,NA
