"Name","ID","Website","Email Address","Non Primary E-mails","Office Phone","Alternate Phone","Fax","Billing Street","Billing City","Billing State","Billing Postal Code","Billing Country","Shipping Street","Shipping City","Shipping State","Shipping Postal Code","Shipping Country","Description","Type","Industry","Annual Revenue","Employees","SIC Code","Ticker Symbol","Parent Account ID","Ownership","Campaign ID","Rating","Assigned to","Assigned User","Date Created","Date Modified","Modified By","Created By","Deleted","Geocode Status","Longitude","Address","Latitude"
"123 Warehousing","001i0000008rFxEAAU","","","","","","","3270 N Hwy 87, Pine, AZ 85544","Pine","Arizona","","","3270 N Hwy 87, Pine, AZ 85544","Pine","Arizona","","","","Other","Recreation","","","","","","","","","","","2011-01-08 00:00:00","","","",0,"",-111.453115,"",34.382835
"A Dui Cras Consulting","001i0000008rFjLAAU","","","","","","","570 Main St, Bangor, ME 04401-6821","Bangor","Maine","","","570 Main St, Bangor, ME 04401-6821","Bangor","Maine","","","","Other","Insurance","","","","","","","","","","","2011-07-31 00:00:00","","","",0,"",-68.777792,"",44.78701
"A Dui Inc.","001i0000008rFtpAAE","","","","","","","40233 Enterprise Dr, Oakhurst, CA 93644-8839","Oakhurst","California","","","40233 Enterprise Dr, Oakhurst, CA 93644-8839","Oakhurst","California","","","","Other","Telecommunications","","","","","","","","","","","2014-09-27 00:00:00","","","",0,"",-119.660271,"",37.333159
"A Feugiat Corp.","001i0000008rFEpAAM","","","","","","","117 Chestnut St, Philadelphia, PA 19106-3074","Philadelphia","Pennsylvania","","","117 Chestnut St, Philadelphia, PA 19106-3074","Philadelphia","Pennsylvania","","","","Other","Shipping","","","","","","","","","","","2012-03-27 00:00:00","","","",0,"",-75.143556,"",39.948474
"A Magna Corporation","001i0000008rFXlAAM","","","","","","","25327 Jeans Rd, Veneta, OR 97487-9644","Veneta","Oregon","","","25327 Jeans Rd, Veneta, OR 97487-9644","Veneta","Oregon","","","","Other","Technology","","","","","","","","","","","2015-03-28 00:00:00","","","",0,"",-123.337949,"",44.055391
"A Magna Lorem Foundation","001i0000008rFkOAAU","","","","","","","1120 W Lincolnshire Blvd, Springfield, IL 62711-6445","Springfield","Illinois","","","1120 W Lincolnshire Blvd, Springfield, IL 62711-6445","Springfield","Illinois","","","","Other","Healthcare","","","","","","","","","","","2013-10-29 00:00:00","","","",0,"",-89.67279,"",39.748705
"A Magna Lorem Inc.","001i0000008rERBAA2","","","","","","","5813 Ponce de Leon Blvd, Miami, FL 33146-2422","Miami","Florida","","","5813 Ponce de Leon Blvd, Miami, FL 33146-2422","Miami","Florida","","","","Other","Telecommunications","","","","","","","","","","","2012-09-16 00:00:00","","","",0,"",-80.28308,"",25.710652
"A Malesuada Associates","001i0000008rEs4AAE","","","","","","","610 Merchant St, Emporia, KS 66801-2859","Emporia","Kansas","","","610 Merchant St, Emporia, KS 66801-2859","Emporia","Kansas","","","","Other","Manufacturing","","","","","","","","","","","2013-12-02 00:00:00","","","",0,"",-96.181176,"",38.405473
"A Neque LLC","001i0000008rF4RAAU","","","","","","","777 E Olive Ave, Fresno, CA 93728-3350","Fresno","California","","","777 E Olive Ave, Fresno, CA 93728-3350","Fresno","California","","","","Other","Manufacturing","","","","","","","","","","","2014-09-28 00:00:00","","","",0,"",-119.80205,"",36.75791
"A Odio LLP","001i0000008rFYQAA2","","","","","","","9800 Montgomery Blvd NE, Albuquerque, NM 87111-3576","Albuquerque","New Mexico","","","9800 Montgomery Blvd NE, Albuquerque, NM 87111-3576","Albuquerque","New Mexico","","","","Other","Telecommunications","","","","","","","","","","","2014-05-19 00:00:00","","","",0,"",-106.531573,"",35.12965
"A PC","001i0000008rEVmAAM","","","","","","","5810 Bond St # E-2, Cumming, GA 30040-0301","Cumming","Georgia","","","5810 Bond St # E-2, Cumming, GA 30040-0301","Cumming","Georgia","","","","Other","Manufacturing","","","","","","","","","","","2012-07-07 00:00:00","","","",0,"",-84.219383,"",34.181723
"A Sollicitudin Corp.","001i0000008rEjeAAE","","","","","","","13040 Highway 9, Boulder Creek, CA 95006-9154","Boulder Creek","California","","","13040 Highway 9, Boulder Creek, CA 95006-9154","Boulder Creek","California","","","","Other","Manufacturing","","","","","","","","","","","2014-11-04 00:00:00","","","",0,"",-122.121336,"",37.12326
"Ac Eleifend Foundation","001i0000008rERaAAM","","","","","","","210 Coddington Hwy, Middletown, RI 02842-4884","Middletown","Rhode Island","","","210 Coddington Hwy, Middletown, RI 02842-4884","Middletown","Rhode Island","","","","Other","Insurance","","","","","","","","","","","2011-07-08 00:00:00","","","",0,"",-71.305642,"",41.518515
"Ac Facilisis Facilisis LLC","001i0000008rErLAAU","","","","","","","17070 Wright Plz, Omaha, NE 68130-2083","Omaha","Nebraska","","","17070 Wright Plz, Omaha, NE 68130-2083","Omaha","Nebraska","","","","Other","Healthcare","","","","","","","","","","","2013-12-15 00:00:00","","","",0,"",-96.182054,"",41.233258
"Ac Incorporated","001i0000008rFawAAE","","","","","","","1019 15th St, Cody, WY 82414-3721","Cody","Wyoming","","","1019 15th St, Cody, WY 82414-3721","Cody","Wyoming","","","","Other","Technology","","","","","","","","","","","2014-03-30 00:00:00","","","",0,"",-109.05862,"",44.526489
"Ac Mattis Institute","001i0000008rFVMAA2","","","","","","","31115 W Crossroads Ln, Eugene, OR 97408-9220","Eugene","Oregon","","","31115 W Crossroads Ln, Eugene, OR 97408-9220","Eugene","Oregon","","","","Other","Manufacturing","","","","","","","","","","","2015-03-22 00:00:00","","","",0,"",-123.125078,"",44.189012
"Ac Metus Corporation","001i0000008rEoQAAU","","","","","","","1250 Niagara St, Buffalo, NY 14213-1502","Buffalo","New York","","","1250 Niagara St, Buffalo, NY 14213-1502","Buffalo","New York","","","","Other","Insurance","","","","","","","","","","","2011-12-09 00:00:00","","","",0,"",-78.899571,"",42.918215
"Ac Mi Eleifend LLC","001i0000008rG15AAE","","","","","","","32 3rd St NE, Minot, ND 58703-3108","Minot","North Dakota","","","32 3rd St NE, Minot, ND 58703-3108","Minot","North Dakota","","","","Other","Telecommunications","","","","","","","","","","","2013-09-24 00:00:00","","","",0,"",-101.288237,"",48.237588
"Ac Turpis Egestas Limited","001i0000008rFtRAAU","","","","","","","157 2nd Ave, Twin Falls, ID 83301","Twin Falls","Idaho","","","157 2nd Ave, Twin Falls, ID 83301","Twin Falls","Idaho","","","","Other","Transportation","","","","","","","","","","","2011-02-28 00:00:00","","","",0,"",-114.472287,"",42.55571
"Accumsan Convallis PC","001i0000008rF08AAE","","","","","","","639 Girod St, Mandeville, LA 70448-5205","Mandeville","Louisiana","","","639 Girod St, Mandeville, LA 70448-5205","Mandeville","Louisiana","","","","Other","Chemicals","","","","","","","","","","","2013-12-24 00:00:00","","","",0,"",-90.063091,"",30.360469
"Accumsan Inc.","001i0000008rFI5AAM","","","","","","","200 Dousman St, Green Bay, WI 54303-2712","Green Bay","Wisconsin","","","200 Dousman St, Green Bay, WI 54303-2712","Green Bay","Wisconsin","","","","Other","Telecommunications","","","","","","","","","","","2013-08-10 00:00:00","","","",0,"",-88.0176,"",44.519606
"Acme, inc.","001i0000008rG80AAE","","","","","","","5041 Rainier Ave S, Seattle, WA 98118-1946","Seattle","Washington","","","5041 Rainier Ave S, Seattle, WA 98118-1946","Seattle","Washington","","","","Other","Technology","","","","","","","","","","","2014-12-14 00:00:00","","","",0,"",-122.28429,"",47.555989
"Adipiscing Company","001i0000008rF01AAE","","","","","","","317 N Main St, Elkhart, IN 46516-3034","Elkhart","Indiana","","","317 N Main St, Elkhart, IN 46516-3034","Elkhart","Indiana","","","","Other","Transportation","","","","","","","","","","","2013-02-27 00:00:00","","","",0,"",-85.975323,"",41.690008
"Adipiscing Corporation","001i0000008rCg2AAE","","","","","","","2101 Epcot Resorts Blvd, Lake Buena Vista, FL 32830-8442","Lake Buena Vista","Florida","","","2101 Epcot Resorts Blvd, Lake Buena Vista, FL 32830-8442","Lake Buena Vista","Florida","","","","Other","Finance","","","","","","","","","","","2012-08-26 00:00:00","","","",0,"",-81.555115,"",28.365942
"Adipiscing Elit PC","001i0000008rG9zAAE","","","","","","","625 St Helens Ave, Tacoma, WA 98402-2304","Tacoma","Washington","","","625 St Helens Ave, Tacoma, WA 98402-2304","Tacoma","Washington","","","","Other","Finance","","","","","","","","","","","2015-06-23 00:00:00","","","",0,"",-122.442472,"",47.257858
"Adipiscing Enim Mi Consulting","001i0000008rEG6AAM","","","","","","","2980 Cahill Main, Fitchburg, WI 53711-7146","Fitchburg","Wisconsin","","","2980 Cahill Main, Fitchburg, WI 53711-7146","Fitchburg","Wisconsin","","","","Other","Manufacturing","","","","","","","","","","","2013-07-22 00:00:00","","","",0,"",-89.423339,"",43.017804
"Adipiscing LLC","001i0000008rFayAAE","","","","","","","604 Broadway St, Rock Springs, WY 82901-6348","Rock Springs","Wyoming","","","604 Broadway St, Rock Springs, WY 82901-6348","Rock Springs","Wyoming","","","","Other","Telecommunications","","","","","","","","","","","2014-03-31 00:00:00","","","",0,"",-109.21782,"",41.586732
"Adipiscing Lobortis Risus Industries","001i0000008rFjjAAE","","","","","","","4301 W Wisconsin Ave Ste 189, Appleton, WI 54913-6530","Appleton","Wisconsin","","","4301 W Wisconsin Ave Ste 189, Appleton, WI 54913-6530","Appleton","Wisconsin","","","","Other","Telecommunications","","","","","","","","","","","2013-08-14 00:00:00","","","",0,"",-88.470068,"",44.269672
"Adipiscing Non Ltd","001i0000008rAWCAA2","","","","","","","509 1/2 Puyallup Ave, Tacoma, WA 98421-1318","Tacoma","Washington","","","509 1/2 Puyallup Ave, Tacoma, WA 98421-1318","Tacoma","Washington","","","","Other","Utilities","","","","","","","","","","","2015-06-30 00:00:00","","","",0,"",-122.427337,"",47.241118
"Aenean Eget Magna Foundation","001i0000008rFwmAAE","","","","","","","140 E Washington St PO Box 8111, Athens, GA 30601-2747","Athens","Georgia","","","140 E Washington St PO Box 8111, Athens, GA 30601-2747","Athens","Georgia","","","","Other","Chemicals","","","","","","","","","","","2012-07-17 00:00:00","","","",0,"",-83.376666,"",33.958886
"Aenean Eget Metus Inc.","001i0000008rFGSAA2","","","","","","","400 Union Square Dr, New Hope, PA 18938-1367","New Hope","Pennsylvania","","","400 Union Square Dr, New Hope, PA 18938-1367","New Hope","Pennsylvania","","","","Other","Communications","","","","","","","","","","","2012-03-20 00:00:00","","","",0,"",-74.954267,"",40.365523
"Aenean Institute","001i0000008rFkfAAE","","","","","","","1000 Carillon Blvd, Dayton, OH 45409","Dayton","Ohio","","","1000 Carillon Blvd, Dayton, OH 45409","Dayton","Ohio","","","","Other","Communications","","","","","","","","","","","2011-06-03 00:00:00","","","",0,"",-84.199902,"",39.729197
"Aenean Sed Pede Associates","001i0000008rG6eAAE","","","","","","","4547 N Rancho Dr Ste A, Las Vegas, NV 89130-3432","Las Vegas","Nevada","","","4547 N Rancho Dr Ste A, Las Vegas, NV 89130-3432","Las Vegas","Nevada","","","","Other","Finance","","","","","","","","","","","2014-06-18 00:00:00","","","",0,"",-115.235613,"",36.242741
"Aerosoft","001i0000008rF6yAAE","","","","","","","595 NE E St, Grants Pass, OR 97526-2356","Grants Pass","Oregon","","","595 NE E St, Grants Pass, OR 97526-2356","Grants Pass","Oregon","","","","Other","Technology","","","","","","","","","","","2015-01-04 00:00:00","","","",0,"",-123.317672,"",42.439023
"Aliquam Company","001i0000008rFepAAE","","","","","","","890 E Fort Union Blvd, Midvale, UT 84047-1745","Midvale","Utah","","","890 E Fort Union Blvd, Midvale, UT 84047-1745","Midvale","Utah","","","","Other","Telecommunications","","","","","","","","","","","2014-04-09 00:00:00","","","",0,"",-111.866499,"",40.621888
"Aliquam Enim Nec Limited","001i0000008rFUQAA2","","","","","","","201 E Vine St, Salisbury, MD 21804-5515","Salisbury","Maryland","","","201 E Vine St, Salisbury, MD 21804-5515","Salisbury","Maryland","","","","Other","Telecommunications","","","","","","","","","","","2012-03-31 00:00:00","","","",0,"",-75.596051,"",38.361847
"Aliquam Erat Volutpat LLP","001i0000008rFe9AAE","","","","","","","10 Sherman St, Pittsburgh, PA 15209","Pittsburgh","Pennsylvania","","","10 Sherman St, Pittsburgh, PA 15209","Pittsburgh","Pennsylvania","","","","Other","Technology","","","","","","","","","","","2011-06-11 00:00:00","","","",0,"",-79.971985,"",40.47886
"Aliquam Gravida Mauris Foundation","001i0000008rG10AAE","","","","","","","200 Mosbys Run, Roseland, VA 22967-8551","Roseland","Virginia","","","200 Mosbys Run, Roseland, VA 22967-8551","Roseland","Virginia","","","","Other","Healthcare","","","","","","","","","","","2012-06-09 00:00:00","","","",0,"",-78.918887,"",37.870497
"Aliquam Incorporated","001i0000008rFd2AAE","","","","","","","1220 W Nickerson St, Seattle, WA 98119-1325","Seattle","Washington","","","1220 W Nickerson St, Seattle, WA 98119-1325","Seattle","Washington","","","","Other","Healthcare","","","","","","","","","","","2015-04-03 00:00:00","","","",0,"",-122.373097,"",47.655811
"Aliquam LLP","001i0000008rETUAA2","","","","","","","245 108th Ave, Treasure Island, FL 33706-4703","Treasure Island","Florida","","","245 108th Ave, Treasure Island, FL 33706-4703","Treasure Island","Florida","","","","Other","Manufacturing","","","","","","","","","","","2012-09-24 00:00:00","","","",0,"",-82.766916,"",27.770782
"Aliquam PC","001i0000008rDkfAAE","","","","","","","5475 Main St, Lexington, MI 48450-9385","Lexington","Michigan","","","5475 Main St, Lexington, MI 48450-9385","Lexington","Michigan","","","","Other","Engineering","","","","","","","","","","","2013-03-31 00:00:00","","","",0,"",-82.530986,"",43.268746
