"...1","Opportunity Name","ID","Opportunity Amount","Currency","Expected Close Date","Sales Stage","Probability (%)","Next Step","Type","Account Name","Description","Amount","Lead Source","campaign_id","Assigned to","Assigned User","Date Created","Date Modified","Created By","Modified By","Deleted","Geocode Status","Longitude","Address","Latitude"
NA,"Tortor Institute vy5PAAQ  MOL Premium Software","006i0000001vy5PAAQ",506,NA,NA,"Commit",NA,NA,"Software",NA,NA,491832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-122.439547,NA,47.256698
NA,"Adipiscing Non Ltd vy5QAAQ  MOL Mobile Software","006i0000001vy5QAAQ",99,NA,NA,"Decision",NA,NA,"Software",NA,NA,68607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-122.427337,NA,47.241118
NA,"Etiam Ligula Tortor Limited vxcwAAA  MOL Mobile Maintenance","006i0000001vxcwAAA",1,NA,NA,"Closed Lost",NA,NA,"Maintenance",NA,NA,109.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-118.444365,NA,45.987643
NA,"Dictum Magna Ut Ltd vtUfAAI  MOL Standard Software","006i0000001vtUfAAI",14,NA,NA,"Closed Won",NA,NA,"Software",NA,NA,9296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-76.609006,NA,39.902482
NA,"Convallis LLP vtVwAAI  MOL Standard Software","006i0000001vtVwAAI",11,NA,NA,"Closed Lost",NA,NA,"Software",NA,NA,6688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-76.430401,NA,40.227395
NA,"Risus LLP vtAiAAI  MOL Standard Software","006i0000001vtAiAAI",9,NA,NA,"Closed Won",NA,NA,"Maintenance",NA,NA,961.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-90.338889,NA,47.749329
NA,"Risus LLP vtXgAAI  MOL Standard Software","006i0000001vtXgAAI",8,NA,NA,"Closed Won",NA,NA,"Software",NA,NA,5824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-90.338889,NA,47.749329
NA,"Magna Nec Quam Foundation vtBmAAI  MOL Standard Software","006i0000001vtBmAAI",28,NA,NA,"Closed Won",NA,NA,"Software",NA,NA,22176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-78.717365,NA,35.870434
NA,"Magna Nec Quam Foundation vtCRAAY  MOL Standard Services","006i0000001vtCRAAY",1,NA,NA,"Closed Lost",NA,NA,"Services",NA,NA,623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-78.717365,NA,35.870434
NA,"Magna Nec Quam Foundation vtaQAAQ  MOL Standard Software","006i0000001vtaQAAQ",10,NA,NA,"Closed Won",NA,NA,"Software",NA,NA,6640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-78.717365,NA,35.870434
