"Opportunity Name","ID","Opportunity Amount","Currency","Expected Close Date","Sales Stage","Probability (%)","Next Step","Type","Account Name","Description","Amount","Lead Source","campaign_id","Assigned to","Assigned User","Date Created","Date Modified","Created By","Modified By","Deleted","Geocode Status","Longitude","Address","Latitude"
"Tortor Institute vy5PAAQ  MOL Premium Software","006i0000001vy5PAAQ",506,"","07/01/2015","Commit","","","Software","Tortor Institute","",491832,"","","","","06/30/2015 00:00","","","","","",-122.439547,"",47.256698
"Adipiscing Non Ltd vy5QAAQ  MOL Mobile Software","006i0000001vy5QAAQ",99,"","08/15/2015","Decision","","","Software","Adipiscing Non Ltd","",68607,"","","","","06/30/2015 00:00","","","","","",-122.427337,"",47.241118
"Etiam Ligula Tortor Limited vxcwAAA  MOL Mobile Maintenance","006i0000001vxcwAAA",1,"","04/23/2015","Closed Lost","","","Maintenance","Etiam Ligula Tortor Limited","",109.2,"","","","","04/25/2015 00:00","","","","","",-118.444365,"",45.987643
"Dictum Magna Ut Ltd vtUfAAI  MOL Standard Software","006i0000001vtUfAAI",14,"","01/26/2012","Closed Won","","","Software","Dictum Magna Ut Ltd","",9296,"","","","","01/28/2012 00:00","","","","","",-76.609006,"",39.902482
"Convallis LLP vtVwAAI  MOL Standard Software","006i0000001vtVwAAI",11,"","02/18/2012","Closed Lost","","","Software","Convallis LLP","",6688,"","","","","02/17/2012 00:00","","","","","",-76.430401,"",40.227395
"Risus LLP vtAiAAI  MOL Standard Software","006i0000001vtAiAAI",9,"","03/11/2011","Closed Won","","","Maintenance","Risus LLP","",961.2,"","","","","03/13/2011 00:00","","","","","",-90.338889,"",47.749329
"Risus LLP vtXgAAI  MOL Standard Software","006i0000001vtXgAAI",8,"","03/20/2012","Closed Won","","","Software","Risus LLP","",5824,"","","","","03/12/2012 00:00","","","","","",-90.338889,"",47.749329
"Magna Nec Quam Foundation vtBmAAI  MOL Standard Software","006i0000001vtBmAAI",28,"","03/27/2011","Closed Won","","","Software","Magna Nec Quam Foundation","",22176,"","","","","03/29/2011 00:00","","","","","",-78.717365,"",35.870434
"Magna Nec Quam Foundation vtCRAAY  MOL Standard Services","006i0000001vtCRAAY",1,"","04/02/2011","Closed Lost","","","Services","Magna Nec Quam Foundation","",623,"","","","","04/02/2011 00:00","","","","","",-78.717365,"",35.870434
"Magna Nec Quam Foundation vtaQAAQ  MOL Standard Software","006i0000001vtaQAAQ",10,"","04/04/2012","Closed Won","","","Software","Magna Nec Quam Foundation","",6640,"","","","","04/01/2012 00:00","","","","","",-78.717365,"",35.870434
"Quisque Tincidunt LLP vsxPAAQ  MOL Standard Software","006i0000001vsxPAAQ",38,"","03/31/2012","Closed Won","","","Software","Quisque Tincidunt LLP","",26752,"","","","","04/02/2012 00:00","","","","","",-75.292436,"",40.073744
"OSN Infotech vtFVAAY  MOL Standard Maintenance","006i0000001vtFVAAY",4,"","06/20/2011","Closed Won","","","Maintenance","OSN Infotech","",470.4,"","","","","06/13/2011 00:00","","","","","",-72.531824,"",42.372756
